icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
c013b7,PSC713,Canada,1786486657,1786486657,-64.308,50.257,4953.0,False,128.2,267.7,0.0,4922.52,0,2026-08-11 22:17:37+00:00
c06f13,QUE20,Canada,1786486657,1786486657,-72.4461,46.9067,7955.28,False,191.92,312.28,6.83,8046.72,0,2026-08-11 22:17:37+00:00
c05ab2,WJA842,Canada,1786486637,1786486637,-65.7031,46.5654,11887.2,False,258.64,97.89,0.0,12092.94,0,2026-08-11 22:17:37+00:00
3965a4,AFR010,France,1786486631,1786486635,-59.1505,50.5851,10972.8,False,224.96,231.03,0.0,11117.58,0,2026-08-11 22:17:37+00:00
c06c53,PVL7723,Canada,1786486655,1786486655,-73.7436,45.4589,,True,3.6,233.44,,,0,2026-08-11 22:17:37+00:00
c07f5d,LSJ641,Canada,1786486355,1786486357,-71.3775,46.8024,152.4,False,69.12,225.0,-2.93,53.34,0,2026-08-11 22:17:37+00:00
a369be,ENY3602,United States,1786486603,1786486603,-73.7552,45.4558,,True,0.0,154.69,,,0,2026-08-11 22:17:37+00:00
c06aac,,Canada,1786486651,1786486651,-73.7284,45.4707,,True,11.32,42.19,,,0,2026-08-11 22:17:37+00:00
c06aad,CGOKI,Canada,1786486656,1786486656,-73.0788,45.6952,2392.68,False,136.13,232.52,-4.55,2400.3,0,2026-08-11 22:17:37+00:00
c06b60,PNO733,Canada,1786486657,1786486657,-73.6646,45.5158,457.2,False,67.0,222.51,-4.55,381.0,0,2026-08-11 22:17:37+00:00
3b7765,CTM2034,France,1786486657,1786486657,-63.2728,49.3658,10050.78,False,206.2,98.9,-1.3,10149.84,0,2026-08-11 22:17:37+00:00
c04051,ROU2065,Canada,1786486657,1786486657,-71.6935,45.621,10355.58,False,205.27,264.25,0.0,10553.7,0,2026-08-11 22:17:37+00:00
c04052,ROU1995,Canada,1786486657,1786486657,-67.5165,46.6906,10980.42,False,213.28,230.09,0.33,11148.06,0,2026-08-11 22:17:37+00:00
c0404e,WJA841,Canada,1786486584,1786486584,-69.4992,48.5961,10972.8,False,211.13,306.48,0.33,11071.86,0,2026-08-11 22:17:37+00:00
c0404f,ROU1957,Canada,1786486656,1786486656,-77.2287,45.0098,9761.22,False,213.12,240.34,0.0,10012.68,0,2026-08-11 22:17:37+00:00
c0799a,TSC690,Canada,1786486657,1786486657,-67.4687,46.0811,11887.2,False,271.65,76.75,0.0,12115.8,0,2026-08-11 22:17:37+00:00
406f79,BAW243,United Kingdom,1786486592,1786486646,-61.7472,46.8213,10965.18,False,233.25,230.73,-0.33,11178.54,0,2026-08-11 22:17:37+00:00
406f78,BAW99,United Kingdom,1786486657,1786486657,-67.4956,48.6553,12192.0,False,234.81,237.98,0.0,12352.02,0,2026-08-11 22:17:37+00:00
394a11,AFR344,France,1786486656,1786486657,-73.61,45.5792,830.58,False,97.21,222.64,-5.2,792.48,0,2026-08-11 22:17:37+00:00
c064c1,CGMEA,Canada,1786486657,1786486657,-73.3092,45.278,1249.68,False,74.48,84.05,-0.33,1211.58,0,2026-08-11 22:17:37+00:00
c0410b,CFYQK,Canada,1786486657,1786486657,-73.3656,45.5151,548.64,False,38.4,39.02,-0.33,,0,2026-08-11 22:17:37+00:00
c052ca,WJA793,Canada,1786486657,1786486657,-71.7365,48.1446,10363.2,False,212.56,292.03,0.0,10454.64,0,2026-08-11 22:17:37+00:00
c07797,CGTHM,Canada,1786486510,1786486511,-72.2011,45.2599,701.04,False,63.04,116.15,-4.55,632.46,0,2026-08-11 22:17:37+00:00
c07753,CGTEW,Canada,1786486656,1786486657,-76.3233,45.3746,1402.08,False,89.11,217.73,-0.33,1402.08,0,2026-08-11 22:17:37+00:00
abb9eb,N855A,United States,1786486390,1786486390,-73.4239,45.5195,,True,4.12,309.38,,,0,2026-08-11 22:17:37+00:00
406d7a,BAW171,United Kingdom,1786486657,1786486657,-67.4005,47.3133,12192.0,False,238.88,227.62,-0.33,12390.12,0,2026-08-11 22:17:37+00:00
c088fb,WJA791,Canada,1786486585,1786486585,-65.1402,46.1375,4130.04,False,177.67,310.66,4.88,4130.04,0,2026-08-11 22:17:37+00:00
c062b7,CGLJY,Canada,1786486657,1786486657,-73.0227,45.3706,647.7,False,53.07,258.25,0.0,579.12,0,2026-08-11 22:17:37+00:00
c00e15,ACA697,Canada,1786486657,1786486657,-69.0682,46.5076,10972.8,False,210.93,247.94,0.33,11155.68,0,2026-08-11 22:17:37+00:00
c0636e,PTR2398,Canada,1786486546,1786486556,-73.7475,45.4745,,True,23.15,222.19,,,0,2026-08-11 22:17:37+00:00
c06590,ACA753,Canada,1786486515,1786486515,-73.7495,45.4593,,True,0.0,180.0,,,0,2026-08-11 22:17:37+00:00
c05219,ROU2017,Canada,1786486656,1786486656,-63.1322,46.2561,594.36,False,83.29,186.03,4.55,502.92,0,2026-08-11 22:17:37+00:00
c07861,CGTPG,Canada,1786486656,1786486656,-79.8559,45.294,601.98,False,53.82,324.33,3.58,563.88,0,2026-08-11 22:17:37+00:00
3949e5,AFR327,France,1786486656,1786486656,-69.2824,47.6496,11277.6,False,275.3,65.25,0.0,11414.76,0,2026-08-11 22:17:37+00:00
3949f7,AFR346,France,1786486657,1786486657,-72.7631,45.8161,3985.26,False,154.42,241.98,-7.48,4038.6,0,2026-08-11 22:17:37+00:00
c055b1,CGGLS,Canada,1786486656,1786486657,-75.3245,45.4874,1737.36,False,63.28,89.07,0.0,1722.12,0,2026-08-11 22:17:37+00:00
06a1ed,QTR8173,Qatar,1786486657,1786486657,-65.8249,45.424,10058.4,False,275.08,61.52,0.0,10271.76,0,2026-08-11 22:17:37+00:00
4cc573,ICE43E,Iceland,1786486657,1786486657,-71.0537,46.2637,11582.4,False,219.27,211.86,0.0,11788.14,0,2026-08-11 22:17:37+00:00
3f9a92,GAF856,Germany,1786486656,1786486656,-75.457,47.4406,10668.0,False,230.84,14.72,0.0,10789.92,0,2026-08-11 22:17:37+00:00
c041bc,ROU1606,Canada,1786486650,1786486650,-73.723,45.4748,,True,12.35,42.19,,,0,2026-08-11 22:17:37+00:00
408120,VIR117F,United Kingdom,1786486656,1786486656,-65.0702,48.9852,11582.4,False,230.7,223.55,0.0,11711.94,0,2026-08-11 22:17:37+00:00
